School Name,URL,State
Albertus Magnus College,http://albertus.edu,CT
Asnuntuck Community College,http://asnuntuck.edu,CT
Connecticut College,http://conncoll.edu,CT
Eastern Connecticut State University,http://easternct.edu,CT
Fairfield University,http://fairfield.edu,CT
Goodwin College,http://goodwin.edu,CT
University of Hartford,http://hartford.edu,CT
Hartford Seminary,http://hartsem.edu,CT
University of New Haven,http://newhaven.edu,CT
Queens University of Charlotte,http://quinnipiac.edu,CT
Quinebaug Valley Community College,http://qvcc.edu,CT
Sacred Heart University,http://sacredheart.edu,CT
Southern Connecticut State University,http://southernct.edu,CT
Three Rivers Community College,http://threerivers.edu,CT
Trinity College,http://trincoll.edu,CT
Tunxis Community College,http://tunxis.edu,CT
University of Connecticut Health Center,http://uchc.edu,CT
University of Connecticut,http://uconn.edu,CT
University of Saint Joseph Connecticut,http://usj.edu,CT
Western Connecticut State University,http://wcsu.edu,CT
Wesleyan University,http://wesleyan.edu,CT
Yale University,http://yale.edu,CT
Anne Arundel Community College,http://aacc.edu,MD
Baltimore City Community College,http://bccc.edu,MD
Bowie State University,http://bowiestate.edu,MD
Carroll Community College,http://carrollcc.edu,MD
The Community College of Baltimore County,http://ccbcmd.edu,MD
Chesapeake College,http://chesapeake.edu,MD
Coppin State University,http://coppin.edu,MD
College of Southern Maryland,http://csmd.edu,MD
Frederick Community College,http://frederick.edu,MD
Frostburg State University,http://frostburg.edu,MD
Garrett College,http://garrettcollege.edu,MD
Goucher College,http://goucher.edu,MD
Hagerstown Community  College,http://hagerstowncc.edu,MD
Harford Community College,http://harford.edu,MD
Hood College,http://hood.edu,MD
Howard Community College,http://howardcc.edu,MD
Johns Hopkins Bloomberg School of Public Health,http://jhsph.edu,MD
Johns Hopkins University,http://jhu.edu,MD
Loyola University Maryland,http://loyola.edu,MD
Montgomery Blair High School,http://mbhs.edu,MD
McDaniel College,http://mcdaniel.edu,MD
Maryland Institute College of Art,http://mica.edu,MD
Montgomery College,http://montgomerycollege.edu,MD
Mount Saint Maryâ€™s University,http://msmary.edu,MD
Maryland University of Integrative Health,http://muih.edu,MD
Prince Georgeâ€™s Community College,http://pgcc.edu,MD
Salisbury University,http://salisbury.edu,MD
Sojourner-Douglass College,http://sdc.edu,MD
Saint Maryâ€™s College of Maryland,http://smcm.edu,MD
Saint James School,http://stjames.edu,MD
Towson University,http://towson.edu,MD
University of  Baltimore,http://ubalt.edu,MD
University of Maryland,http://umaryland.edu,MD
University of  Maryland Baltimore County,http://umbc.edu,MD
University of Maryland,http://umd.edu,MD
University of Maryland University College,http://umuc.edu,MD
University System of Maryland,http://usmd.edu,MD
United States Naval Academy,http://usna.edu,MD
Washington College,http://washcoll.edu,MD
Wor-Wic Community College,http://worwic.edu,MD
Saint Johnâ€™s College,http://sjc.edu,MD
Asheville-Buncombe Technical Community College,http://abtech.edu,NC
Alamance Community College,http://alamancecc.edu,NC
Appalachian State University,http://appstate.edu,NC
Bladen Community College,http://bladencc.edu,NC
Body Therapy Institute,http://bti.edu,NC
Campbell University,http://campbell.edu,NC
Cape Fear Community College,http://cfcc.edu,NC
Charlotte School of Law,http://charlottelaw.edu,NC
Chowan University,http://chowan.edu,NC
Central Piedmont Community College,http://cpcc.edu,NC
Craven Community College,http://cravencc.edu,NC
Davidson College,http://davidson.edu,NC
Duke University,http://duke.edu,NC
Durham Technical Community College,http://durhamtech.edu,NC
Elizabeth City State University,http://ecsu.edu,NC
East Carolina University,http://ecu.edu,NC
Elon University,http://elon.edu,NC
Fayetteville Technical Community College,http://faytechcc.edu,NC
Forsyth Technical Community College,http://forsythtech.edu,NC
Gardner-Webb University,http://gardner-webb.edu,NC
Gaston College,http://gaston.edu,NC
Guilford Technical Community College,http://gtcc.edu,NC
Heritage Bible College,http://heritagebiblecollege.edu,NC
High Point University,http://highpoint.edu,NC
Isothermal Community College,http://isothermal.edu,NC
Lenoir Community College,http://lenoircc.edu,NC
Lees McRae College,http://lmc.edu,NC
Methodist University,http://methodist.edu,NC
The University of Mount Olive,http://umo.edu,NC
Montgomery Community College,http://montgomery.edu,NC
North Carolina Central University,http://nccu.edu,NC
North Carolina School of Science and Mathematics,http://ncssm.edu,NC
North Carolina State University,http://ncsu.edu,NC
North Carolina Wesleyan College,http://ncwc.edu,NC
New Life Theological Seminary,http://nlts.edu,NC
University of North Carolina,http://northcarolina.edu,NC
Piedmont Community College,http://piedmontcc.edu,NC
Pitt Community College,http://pittcc.edu,NC
Queens University of Charlotte,http://queens.edu,NC
Randolph Community College,http://randolph.edu,NC
Roanoke-Chowan Community College,http://roanokechowan.edu,NC
Salem College,http://salem.edu,NC
Sampson Community College,http://sampsoncc.edu,NC
Sandhills Community College,http://sandhills.edu,NC
Saint Andrews University,http://sapc.edu,NC
Southeastern Community College,http://sccnc.edu,NC
Southeastern Baptist Theological Seminary,http://sebts.edu,NC
Shaw University,http://shawu.edu,NC
Southwestern Community College,http://southwesterncc.edu,NC
South Piedmont Community College,http://spcc.edu,NC
Stanly Community College,http://stanly.edu,NC
Saint Augustineâ€™s University,http://st-aug.edu,NC
University of North Carolina at Chapel Hill,http://unc.edu,NC
University of North Carolina Asheville,http://unca.edu,NC
University of North Carolina Charlotte,http://uncc.edu,NC
University of North Carolina Greensboro,http://uncg.edu,NC
University of North Carolina Pembroke,http://uncp.edu,NC
University of North Carolina School of the Arts,http://uncsa.edu,NC
University of North Carolina Wilmington,http://uncw.edu,NC
Vance-Granville Community College,http://vgcc.edu,NC
Wake Technical Community College,http://waketech.edu,NC
Warren Wilson College,http://warren-wilson.edu,NC
Western Carolina University,http://wcu.edu,NC
Wake Forest University,http://wfu.edu,NC
Western Piedmont Community College,http://wpcc.edu,NC
Winston-Salem State University,http://wssu.edu,NC
Atlantic Cape Community College,http://atlantic.edu,NJ
Burlington County College,http://bcc.edu,NJ
Bergen Community College,http://bergen.edu,NJ
Brookdale Community College,http://brookdalecc.edu,NJ
Centenary College of New Jersey,http://centenarycollege.edu,NJ
Drew University,http://drew.edu,NJ
Eastwick College,http://eastwickcollege.edu,NJ
Fairleigh Dickinson University,http://fdu.edu,NJ
Felician College,http://felician.edu,NJ
Fortis Institute,http://fortis.edu,NJ
Georgian Court University,http://georgian.edu,NJ
Kean University,http://kean.edu,NJ
Mercer County Community  College,http://mccc.edu,NJ
Middlesex County College,http://middlesexcc.edu,NJ
Monmouth University,http://monmouth.edu,NJ
Montclair State University,http://montclair.edu,NJ
New Jersey City University,http://njcu.edu,NJ
New Jersey Institute of Technology,http://njit.edu,NJ
Ocean County College,http://ocean.edu,NJ
Princeton University,http://princeton.edu,NJ
Princeton Theological Seminary,http://ptsem.edu,NJ
Ramapo College of New Jersey,http://ramapo.edu,NJ
Raritan Valley Community College,http://raritanval.edu,NJ
Rider University,http://rider.edu,NJ
Rowan University,http://rowan.edu,NJ
Rutgers University,http://rutgers.edu,NJ
Seton Hall University,http://shu.edu,NJ
Stenotech Career Institute,http://stenotech.edu,NJ
Stevens Institute of Technology,http://stevens.edu,NJ
Stockton College,http://stockton.edu,NJ
Sussex County Community College,http://sussex.edu,NJ
The College of New Jersey,http://tcnj.edu,NJ
Thomas Edison State College,http://tesc.edu,NJ
William Paterson University,http://wpunj.edu,NJ
County College of Morris,http://ccm.edu,NJ
Camden County College,http://camdencc.edu,NJ
Passaic County Community College,http://pccc.edu,NJ
Ross University,http://rossu.edu,NJ
Adelphi University,http://adelphi.edu,NY
University at Albany,http://albany.edu,NY
Alfred University,http://alfred.edu,NY
The American Musical and Dramatic Academy,http://amda.edu,NY
ASA College,http://asa.edu,NY
Bard College,http://bard.edu,NY
Barnard College,http://barnard.edu,NY
Binghamton University,http://binghamton.edu,NY
The College at Brockport,http://brockport.edu,NY
University at Buffalo,http://buffalo.edu,NY
Buffalo State University,http://buffalostate.edu,NY
Cazenovia College,http://cazenovia.edu,NY
Clarkson University,http://clarkson.edu,NY
Clinton Community College,http://clinton.edu,NY
The College of New Rochelle,http://cnr.edu,NY
Cobleskill University,http://cobleskill.edu,NY
Colgate University,http://colgate.edu,NY
Columbia University in the City of New York,http://columbia.edu,NY
Concordia College New York,http://concordia-ny.edu,NY
The Cooper Union,http://cooper.edu,NY
Cornell University,http://cornell.edu,NY
Cortland College,http://cortland.edu,NY
The City University of New York,http://cuny.edu,NY
The College of Westchester,http://cw.edu,NY
Daemen College,http://daemen.edu,NY
Dominican College,http://dc.edu,NY
Delhi State University of New York,http://delhi.edu,NY
Dowling College,http://dowling.edu,NY
Dâ€™Youville College,http://dyc.edu,NY
Erie Community College State University of New York,http://ecc.edu,NY
Elim Bible Institute,http://elim.edu,NY
Elmira College,http://elmira.edu,NY
Empire State College,http://esc.edu,NY
College of Environmental Science and Forestry,http://esf.edu,NY
Farmingdale State College,http://farmingdale.edu,NY
Fashion Institute of Technology,http://fitnyc.edu,NY
Finger Lakes Community College,http://flcc.edu,NY
Fordham University,http://fordham.edu,NY
Fredonia University,http://fredonia.edu,NY
Five Towns College,http://ftc.edu,NY
Geneseo University,http://geneseo.edu,NY
Globe Institute of Technology,http://globe.edu,NY
The General Theological Seminary,http://gts.edu,NY
Hamilton College,http://hamilton.edu,NY
Hartwick College,http://hartwick.edu,NY
Herkimer College,http://herkimer.edu,NY
Hofstra University,http://hofstra.edu,NY
Hudson Valley Community College,http://hvcc.edu,NY
Hobart and William Smith Colleges,http://hws.edu,NY
Institute of Design and Construction,http://idc.edu,NY
Iona College,http://iona.edu,NY
Ithaca College,http://ithaca.edu,NY
The Jewish Theological Seminary,http://jtsa.edu,NY
The Juilliard School,http://juilliard.edu,NY
Keuka College,http://keuka.edu,NY
Lehman College,http://lehman.edu,NY
Le Moyne,http://lemoyne.edu,NY
Lim College,http://limcollege.edu,NY
Long Island University,http://liu.edu,NY
Manhattan College,http://manhattan.edu,NY
Marist College,http://marist.edu,NY
Metropolitan College of New York,http://mcny.edu,NY
Mercy College,http://mercy.edu,NY
Marymount Manhattan College,http://mmm.edu,NY
Monroe Community College,http://monroecc.edu,NY
Morrisville State College,http://morrisville.edu,NY
Mount Saint Marry College,http://msmc.edu,NY
Icahn School of Medicine at Mount Sinai,http://mssm.edu,NY
Manhattanville College,http://mville.edu,NY
Nazareth College,http://naz.edu,NY
Nassau Community College,http://ncc.edu,NY
New Paltz,http://newpaltz.edu,NY
The New School,http://newschool.edu,NY
Niagara University,http://niagara.edu,NY
Nyack College,http://nyack.edu,NY
New York College of Health Professions,http://nycollege.edu,NY
New York Film Academy,http://nyfa.edu,NY
New York Institute of Technology,http://nyit.edu,NY
New York University,http://nyu.edu,NY
State University of New York at Oneonta,http://oneonta.edu,NY
State University of New York at Oswego,http://oswego.edu,NY
Pace University,http://pace.edu,NY
Paul Smithâ€™s College,http://paulsmiths.edu,NY
State University of New York at Plattsburgh,http://plattsburgh.edu,NY
State University of New York at Potsdam,http://potsdam.edu,NY
Pratt Institute,http://pratt.edu,NY
Purchase College,http://purchase.edu,NY
Rochester Institute of Technology,http://rit.edu,NY
Roberts Wesleyan College,http://roberts.edu,NY
University of Rochester,http://rochester.edu,NY
Rensselaer Polytechnic Institute,http://rpi.edu,NY
The Sages Colleges,http://sage.edu,NY
Saint Bonaventure University,http://sbu.edu,NY
The New York Conservatory for Dramatic Arts,http://sft.edu,NY
Siena College,http://siena.edu,NY
Saint John Fisher College,http://sjfc.edu,NY
Skidmore College,http://skidmore.edu,NY
Sarah Lawrence College,http://slc.edu,NY
Saint Bernardâ€™s School of Theology and Ministry,http://stbernards.edu,NY
Saint Johnâ€™s University,http://stjohns.edu,NY
Saint Lawrence University,http://stlawu.edu,NY
Stony Brook University,http://stonybrook.edu,NY
Stony Brook Medicine,http://stonybrookmedicine.edu,NY
The College of Saint Rose,http://strose.edu,NY
State University of New York,http://suny.edu,NY
State University of New York at Adirondack,http://sunyacc.edu,NY
State University of New Institute of Technology,http://sunyit.edu,NY
Jamestown Community College,http://sunyjcc.edu,NY
Orange County Community College,http://sunyorange.edu,NY
Rockland Community College,http://sunyrockland.edu,NY
Suffolk County Community College,http://sunysuffolk.edu,NY
Westchester Community College,http://sunywcc.edu,NY
Syracuse University,http://syr.edu,NY
Tompkins Cortland Community College,http://tc3.edu,NY
The Touro College and University System,http://touro.edu,NY
Touro College Jacob D. Fuchsberg Law Center,http://tourolaw.edu,NY
Union College,http://union.edu,NY
Upstate  Medical University,http://upstate.edu,NY
United States Military Academy West Point,http://usma.edu,NY
Utica College,http://utica.edu,NY
Vassar College,http://vassar.edu,NY
Wagner College,http://wagner.edu,NY
Wells College,http://wells.edu,NY
Yeshiva University,http://yu.edu,NY
Canton State University of New York,http://canton.edu,NY
Excelsior College,http://excelsior.edu,NY
Culinary Institute of America,http://ciachef.edu,NY
Allegheny College,http://allegheny.edu,PA
Alvernia University,http://alvernia.edu,PA
Arcadia University,http://arcadia.edu,PA
Baptist Bible College & Seminary,http://bbc.edu,PA
Butler County Community College,http://bc3.edu,PA
Bloomsburg University,http://bloomu.edu,PA
Bryn Mawr College,http://brynmawr.edu,PA
Bucknell University,http://bucknell.edu,PA
Bucks County Community College,http://bucks.edu,PA
California University of Pennsylvania,http://calu.edu,PA
Carlow University,http://carlow.edu,PA
Community College of Allegheny County,http://ccac.edu,PA
Community College of Philadelphia,http://ccp.edu,PA
Cedar Crest College,http://cedarcrest.edu,PA
Chatham University,http://chatham.edu,PA
Chestnut Hill College,http://chc.edu,PA
Clarion University,http://clarion.edu,PA
Carnegie Mellon University,http://cmu.edu,PA
Delaware County Community College,http://dccc.edu,PA
Delaware Valley College,http://delval.edu,PA
Dickinson College,http://dickinson.edu,PA
Drexel University,http://drexel.edu,PA
Drexel University College of Medicine,http://drexelmed.edu,PA
Duquesne University,http://duq.edu,PA
Eastern University,http://eastern.edu,PA
Edinboro University,http://edinboro.edu,PA
Elizabethtown College,http://etown.edu,PA
Evangelical Seminary,http://evangelical.edu,PA
Franklin & Marshall College,http://fandm.edu,PA
Saint Francis University,http://francis.edu,PA
Grove City College,http://gcc.edu,PA
Geneva College,http://geneva.edu,PA
Gettysburg College,http://gettysburg.edu,PA
Harrisburg Area Community College,http://hacc.edu,PA
Haverford College,http://haverford.edu,PA
Holy Family University,http://holyfamily.edu,PA
Indiana University of Pennsylvania,http://iup.edu,PA
Thomas Jefferson University,http://jefferson.edu,PA
Juniata College,http://juniata.edu,PA
Keystone College,http://keystone.edu,PA
Kingâ€™s College,http://kings.edu,PA
Kutztown University,http://kutztown.edu,PA
Lackawanna College,http://lackawanna.edu,PA
Lafayette College,http://lafayette.edu,PA
Lancaster County Career and Technology Center,http://lancasterctc.edu,PA
Lancaster Theological Seminary,http://lancasterseminary.edu,PA
La Roche College,http://laroche.edu,PA
La Salle University,http://lasalle.edu,PA
Lehigh Carbon Community College,http://lccc.edu,PA
Lake Erie College of Osteopathic Medicine,http://lecom.edu,PA
Lehigh University,http://lehigh.edu,PA
Lock Haven University,http://lhup.edu,PA
The Lincoln University,http://lincoln.edu,PA
Lansdale School of Business,http://lsb.edu,PA
Lebanon Valley College,http://lvc.edu,PA
Lycoming College,http://lycoming.edu,PA
Manor College,http://manor.edu,PA
Mansfield University,http://mansfield.edu,PA
Marywood University,http://marywood.edu,PA
Montgomery County Community College,http://mc3.edu,PA
Mercyhurst University,http://mercyhurst.edu,PA
Messiah College,http://messiah.edu,PA
Millersville University,http://millersville.edu,PA
Misericordia University,http://misericordia.edu,PA
Moravian College,http://moravian.edu,PA
Mount Aloysius College,http://mtaloy.edu,PA
Muhlenberg College,http://muhlenberg.edu,PA
Neumann University,http://neumann.edu,PA
Northampton Community College,http://northampton.edu,PA
Pennsylvania Gunsmith School,http://pagunsmith.edu,PA
Philadelphia College of Osteopathic Medicine,http://pcom.edu,PA
Pennsylvania College of Technology,http://pct.edu,PA
Philadelphia University,http://philau.edu,PA
University of Pittsburgh,http://pitt.edu,PA
Penn State University,http://psu.edu,PA
Reading Area Community College,http://racc.edu,PA
Robert Morris University,http://rmu.edu,PA
Saint Vincent Seminary,http://saintvincentseminary.edu,PA
Salus University,http://salus.edu,PA
The University of Scranton,http://scranton.edu,PA
Shippensburg University,http://ship.edu,PA
Saint Josephâ€™s University,http://sju.edu,PA
Slippery Rock University,http://sru.edu,PA
Saint Vincent College,http://stvincent.edu,PA
Susquehanna University,http://susqu.edu,PA
Swarthmore College,http://swarthmor.edu,PA
Temple University,http://temple.edu,PA
The  American College of Financial Services,http://theamericancollege.edu,PA
Thiel College,http://thiel.edu,PA
University of the Arts,http://uarts.edu,PA
University of Pennsylvania,http://upenn.edu,PA
University of the Sciences in Philadelphia,http://usciences.edu,PA
Valley Forge Christian College,http://vfcc.edu,PA
Villanova University,http://villanova.edu,PA
Washington and Jefferson  College,http://washjeff.edu,PA
Westmoreland County Community College,http://wccc.edu,PA
West  Chester University,http://wcupa.edu,PA
Westminster College,http://westminster.edu,PA
Widener University,http://widener.edu,PA
Wilkes University,http://wilkes.edu,PA
Wilson College,http://wilson.edu,PA
York College of Pennsylvania,http://ycp.edu,PA
Pennsylvania Academy of the Fine Arts,http://pafa.edu,PA
East Stroudsburg University,http://esu.edu,PA
Ursinus College,http://ursinus.edu,PA
DeSales University,http://desales.edu,PA
Lancaster Bible College,http://lbc.edu,PA
Cheyney University of Pennsylvania,http://cheyney.edu,PA
Averett University,http://averett.edu,VA
Christendom College,http://christendom.edu,VA
Christopher Newport University,http://cnu.edu,VA
Dabney S. Lancaster Community College,http://dslcc.edu,VA
Eastern Mennonite University,http://emu.edu,VA
Eastern Virginia Medical School,http://evms.edu,VA
Ferrum College,http://ferrum.edu,VA
Germanna Community College,http://germanna.edu,VA
George Mason University,http://gmu.edu,VA
Hampden-Sydney College,http://hsc.edu,VA
The Institute for the Psychological Sciences,http://ipsciences.edu,VA
James Madison University,http://jmu.edu,VA
Liberty University,http://liberty.edu,VA
Longwood University,http://longwood.edu,VA
Marymount University,http://marymount.edu,VA
New River Community College,http://nr.edu,VA
Norfolk State University,http://nsu.edu,VA
Northern Virginia Community College,http://nvcc.edu,VA
Old Dominion University,http://odu.edu,VA
Radford University,http://radford.edu,VA
Randolph College,http://randolphcollege.edu,VA
Rappahannock Community College,http://rappahannock.edu,VA
Regent University,http://regent.edu,VA
Reynolds Community College,http://reynolds.edu,VA
University of Richmond,http://richmond.edu,VA
Randolph-Macon College,http://rmc.edu,VA
Roanoke College,http://roanoke.edu,VA
Sentara College of Health Sciences,http://sentara.edu,VA
Stratford University,http://stratford.edu,VA
Shenandoah University,http://su.edu,VA
Southern Virgina University,http://svu.edu,VA
Southwest Virgina Community College,http://sw.edu,VA
Tidewater Community College,http://tcc.edu,VA
Thomas Nelson Community College,http://tncc.edu,VA
University of Mary Washington,http://umw.edu,VA
University of Virginiaâ€™s College at Wise,http://uvawise.edu,VA
Virginiaâ€™s Community Colleges,http://vccs.edu,VA
Virginia Commonwealth University,http://vcu.edu,VA
Virgina Highlands Community College,http://vhcc.edu,VA
Virginia Institute of Marine Science,http://vims.edu,VA
University of Virginia,http://virginia.edu,VA
Virginia Western Community College,http://virginiawestern.edu,VA
Virginia International University,http://viu.edu,VA
Virginia State University,http://vsu.edu,VA
Virginia Polytechnic Institute and State University,http://vt.edu,VA
Virginia Union University,http://vuu.edu,VA
Virginia Wesleyan College,http://vwc.edu,VA
Washington and Lee University,http://wlu.edu,VA
The College of William and Mary,http://wm.edu,VA
